student_id,punctuality,regularity,clarity,interactivity,doubt_solving,notes_provided,overall_satisfaction,comment,Sentiment
167,Disagree,Neutral,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Very good teaching style.,positive
169,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Not satisfied with the way of teaching.,positive
172,Strongly Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Interactive and engaging classes.,positive
174,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Very good teaching style.,positive
177,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Disagree,Very good teaching style.,positive
178,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Agree,Disagree,Satisfied with the overall teaching.,positive
184,Agree,Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Interactive and engaging classes.,positive
190,Neutral,Agree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Interactive and engaging classes.,positive
192,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Interactive and engaging classes.,positive
195,Neutral,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Strongly Agree,Interactive and engaging classes.,positive
196,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Excellent use of examples.,positive
197,Agree,Strongly Agree,Neutral,Agree,Agree,Disagree,Neutral,Very good teaching style.,positive
